ID,Name,Gender,Age,Height (cm),Weight (kg),Country,Continent,Year,Season,Sport,Event,Medal
95,Leslie Godfree,Male,26,169,62,USA,North America,1986,Summer,Swimming,200m Butterfly,Silver
96,Andy Goode,Female,24,157,76,Spain,Europe,1986,Winter,Skiing,Alpine Skiing,Gold
97,Arthur Wentworth Gore,Male,35,199,104,Brazil,South America,1986,Winter,Skiing,Alpine Skiing,Bronze
98,Darren Hall,Female,21,153,60,Germany,Europe,1986,Summer,Swimming,100m Freestyle,
99,Tim Henman,Male,33,188,106,South Korea,Asia,1986,Summer,Swimming,100m Freestyle,Bronze
100,George Hillyard,Male,26,191,57,Germany,Europe,1986,Summer,Weightlifting,Men's 77kg,Silver
101,Chris Hunt,Female,21,179,89,Germany,Europe,1986,Summer,Football,Men's Football,Bronze
102,Algernon Kingscote,Male,34,185,61,France,Europe,1986,Winter,Ice Hockey,Men's Ice Hockey,Gold
103,Peter Knowles,Female,21,165,74,Russia,Europe,1986,Summer,Football,Men's Football,
104,Arthur Lowe,Female,28,200,63,Germany,Europe,1986,Summer,Football,Men's Football,
105,Gordon Lowe,Female,22,173,104,Spain,Europe,1986,Summer,Weightlifting,Women's 58kg,Gold
106,Harold Mahony,Male,38,176,108,India,Asia,1986,Summer,Athletics,100m Sprint,Bronze
107,Theodore Mavrogordato,Female,19,179,109,Japan,Asia,1986,Winter,Skiing,Alpine Skiing,Silver
108,Anders Nielsen,Female,25,197,85,Germany,Europe,1986,Summer,Swimming,100m Freestyle,
109,Arthur Norris,Male,27,167,82,Canada,North America,1986,Summer,Weightlifting,Women's 58kg,
110,James Parke,Female,28,187,54,China,Asia,1986,Winter,Ice Hockey,Women's Ice Hockey,Gold
111,Nick Ponting,Female,23,151,90,Australia,Oceania,1986,Summer,Athletics,Marathon,Gold
112,Carl Prean,Male,20,154,61,Italy,Europe,1986,Winter,Skiing,Alpine Skiing,Bronze
113,Josiah Ritchie,Female,33,196,76,France,Europe,1986,Summer,Athletics,200m Sprint,
114,Julian Robertson,Male,31,170,61,UK,Europe,1986,Winter,Skiing,Alpine Skiing,Bronze
115,Greg Rusedski,Male,34,166,100,UK,Europe,1986,Winter,Ice Hockey,Women's Ice Hockey,Bronze
116,George Simond,Male,25,159,81,France,Europe,1986,Summer,Swimming,200m Butterfly,Bronze
117,Matthew Syed,Female,23,194,53,UK,Europe,1986,Summer,Weightlifting,Men's 77kg,Gold
118,Noel Turnbull,Male,34,175,80,India,Asia,1986,Summer,Basketball,Women's Tournament,Gold
119,Archibald Warden,Male,19,164,88,Italy,Europe,1986,Winter,Skiing,Alpine Skiing,Silver
120,Patrick Wheatley,Female,34,190,106,Spain,Europe,1986,Summer,Football,Women's Football,
121,Chris Wilkinson,Male,24,190,113,Australia,Oceania,1986,Winter,Ice Hockey,Women's Ice Hockey,
122,Max Woosnam,Male,19,166,57,Brazil,South America,1986,Winter,Skiing,Cross-Country,Silver
123,Dave Wright,Male,20,157,109,South Africa,Africa,1986,Winter,Skiing,Cross-Country,Bronze
124,Steffi Graf,Male,18,158,68,Germany,Europe,1986,Summer,Gymnastics,Floor Exercise,Silver
125,Sylvia Hanika,Female,31,178,57,Canada,North America,1986,Summer,Athletics,Marathon,
126,Anke Huber,Male,26,152,97,Italy,Europe,1986,Summer,Football,Men's Football,
127,Claudia Kohde-Kilsch,Male,26,152,109,Russia,Europe,1986,Summer,Swimming,200m Butterfly,Silver
128,Dora Köring,Female,28,197,81,Brazil,South America,1986,Summer,Gymnastics,Vault,Silver
129,Olga Nemes,Female,31,188,91,Canada,North America,1986,Summer,Athletics,200m Sprint,Bronze
130,Katja Nolten,Female,29,181,67,France,Europe,1986,Summer,Weightlifting,Men's 77kg,Silver
131,Barbara Rittner,Female,32,151,81,India,Asia,1986,Summer,Basketball,Men's Tournament,
132,Elke Schall-Wosik,Female,18,185,108,France,Europe,1986,Summer,Basketball,Men's Tournament,
133,Katrin Schmidt,Male,28,172,57,Italy,Europe,1986,Summer,Football,Women's Football,
134,Jie Schöpp,Female,36,163,96,UK,Europe,1986,Summer,Athletics,200m Sprint,
135,Karen Stechmann,Male,40,184,104,Italy,Europe,1986,Summer,Gymnastics,Vault,Bronze
136,Nicole Struse,Male,24,150,72,Italy,Europe,1986,Summer,Swimming,100m Freestyle,
137,Kerstin Ubben,Male,33,181,93,South Korea,Asia,1986,Winter,Skiing,Alpine Skiing,
138,Boris Becker,Female,20,160,68,France,Europe,1986,Summer,Gymnastics,Floor Exercise,
139,Georg Böhm,Female,23,162,76,Japan,Asia,1986,Summer,Gymnastics,Vault,
140,Steffen Fetzner,Female,25,156,76,Japan,Asia,1986,Summer,Football,Women's Football,Silver
141,Peter Franz,Male,23,156,97,China,Asia,1986,Summer,Swimming,100m Freestyle,Gold
142,Stefan Frey,Female,32,169,100,Australia,Oceania,1986,Summer,Athletics,200m Sprint,Gold
143,Otto Froitzheim,Male,20,160,112,India,Asia,1986,Winter,Skiing,Cross-Country,Gold
144,Marc-Kevin Goellner,Male,27,193,81,UK,Europe,1986,Summer,Football,Men's Football,Gold
145,Hugo Hardy,Male,35,158,74,Spain,Europe,1986,Winter,Ice Hockey,Men's Ice Hockey,Bronze
146,Michael Helber,Male,26,177,91,China,Asia,1986,Summer,Basketball,Men's Tournament,
147,Luis Maria Heyden,Male,22,158,81,Brazil,South America,1986,Summer,Weightlifting,Women's 58kg,Silver
148,Eric Jelen,Female,29,189,92,France,Europe,1986,Winter,Ice Hockey,Women's Ice Hockey,
149,Michael Keck,Male,20,160,91,South Korea,Asia,1986,Winter,Skiing,Cross-Country,
150,Oskar Kreuzer,Female,26,170,84,Brazil,South America,1986,Summer,Gymnastics,Floor Exercise,Silver
151,Stephan Kuhl,Male,40,177,83,China,Asia,1986,Winter,Ice Hockey,Women's Ice Hockey,Bronze
152,Paul Lindpaintner,Male,19,175,97,China,Asia,1986,Summer,Gymnastics,Vault,Bronze
153,Oliver Pongratz,Male,34,164,112,Canada,North America,1986,Summer,Weightlifting,Men's 77kg,
154,David Prinosil,Male,26,184,52,UK,Europe,1986,Summer,Athletics,Marathon,Bronze
155,Friedrich-Wilhelm Rahe,Female,26,182,65,Japan,Asia,1986,Summer,Weightlifting,Men's 77kg,Bronze
156,Jürgen Rebel,Female,22,153,88,USA,North America,1986,Summer,Gymnastics,Floor Exercise,Bronze
157,Jörg Roßkopf,Male,34,154,93,France,Europe,1986,Summer,Athletics,Marathon,Bronze
158,Heinrich Schomburgk,Male,38,194,99,Australia,Oceania,1986,Summer,Football,Women's Football,
159,Robert Spies,Female,40,150,102,France,Europe,1986,Winter,Ice Hockey,Women's Ice Hockey,
160,Carl-Uwe Steeb,Male,22,150,72,India,Asia,1986,Winter,Skiing,Cross-Country,Bronze
161,Michael Stich,Male,24,151,70,UK,Europe,1986,Summer,Basketball,Women's Tournament,
162,Fritz Traun,Female,35,185,74,India,Asia,1986,Winter,Skiing,Alpine Skiing,
163,Fritz von Bissing,Male,40,162,79,Italy,Europe,1986,Winter,Skiing,Cross-Country,
164,Otto von Müller,Female,18,173,119,Canada,North America,1986,Winter,Ice Hockey,Women's Ice Hockey,
165,Helen Amankwah,Male,36,168,68,India,Asia,1986,Summer,Swimming,100m Freestyle,Gold
166,Patricia Offel,Female,35,150,113,China,Asia,1986,Summer,Swimming,100m Freestyle,
167,Patience Opokua,Male,36,188,78,USA,North America,1986,Winter,Skiing,Alpine Skiing,Gold
168,Winifred Addy,Male,26,163,97,Russia,Europe,1986,Summer,Football,Women's Football,Silver
169,Christina Papadaki,Female,24,191,95,Australia,Oceania,1986,Summer,Swimming,100m Freestyle,
170,Olga Tsarmpopoulou,Female,29,156,81,Canada,North America,1986,Summer,Weightlifting,Men's 77kg,Bronze
171,Lena Valaoritou,Male,22,162,59,Spain,Europe,1986,Summer,Gymnastics,Floor Exercise,Bronze
172,Christina Zachariadou,Male,31,166,75,India,Asia,1986,Winter,Skiing,Cross-Country,
173,Aristidis Akratopoulos,Male,22,185,69,South Africa,Africa,1986,Summer,Swimming,100m Freestyle,
174,Kostas Akratopoulos,Male,26,174,86,USA,North America,1986,Summer,Swimming,100m Freestyle,Silver
175,Tasos Bavelas,Female,20,184,87,Italy,Europe,1986,Summer,Weightlifting,Men's 77kg,
176,Konstantinos Efremoglou,Female,31,174,100,UK,Europe,1986,Summer,Football,Women's Football,Silver
177,Georgios Kalovelonis,Female,35,167,73,Japan,Asia,1986,Summer,Swimming,200m Butterfly,
178,Demetrius Casdagli,Female,26,154,92,USA,North America,1986,Summer,Swimming,100m Freestyle,Gold
179,Kallinikos Kreangka,Female,20,197,54,China,Asia,1986,Summer,Swimming,200m Butterfly,Bronze
180,Pantelis Papadopoulos,Female,24,184,71,South Korea,Asia,1986,Summer,Weightlifting,Men's 77kg,Gold
181,Konstantinos Paspatis,Female,38,183,51,Germany,Europe,1986,Summer,Basketball,Men's Tournament,
182,Dimitrios Petrokokkinos,Female,23,182,97,Canada,North America,1986,Summer,Athletics,200m Sprint,Bronze
183,D. Frangopoulos,Female,27,158,120,Spain,Europe,1986,Summer,Athletics,Marathon,Bronze
184,Evangelos Rallis,Male,28,153,79,UK,Europe,1986,Summer,Athletics,200m Sprint,Gold
185,Daniel Tsiokas,Male,29,185,97,Japan,Asia,1986,Summer,Gymnastics,Floor Exercise,Silver
186,Avgoustos Zerlentis,Female,34,150,62,France,Europe,1986,Summer,Gymnastics,Floor Exercise,Bronze
187,Kenneth Erichsen,Male,31,157,99,Australia,Oceania,1986,Summer,Athletics,Marathon,
188,Ronald Agénor,Male,22,162,80,Russia,Europe,1986,Summer,Swimming,100m Freestyle,Bronze
189,Emmy Chan,Male,36,167,91,Italy,Europe,1986,Summer,Football,Men's Football,Gold
190,Chan Suk Yuen,Male,32,172,97,Brazil,South America,1986,Winter,Ice Hockey,Women's Ice Hockey,
191,Chan Tan Lui,Female,30,151,95,UK,Europe,1986,Winter,Skiing,Cross-Country,Bronze
192,Chai Po Wa,Female,31,179,90,China,Asia,1986,Summer,Basketball,Women's Tournament,Gold
193,Hui So Hung,Female,25,178,66,China,Asia,1986,Summer,Gymnastics,Floor Exercise,
194,Mok Ka Sha,Female,30,151,104,Brazil,South America,1986,Summer,Swimming,100m Freestyle,Silver
195,Wong Chun Fan,Male,33,151,52,Japan,Asia,1986,Summer,Gymnastics,Floor Exercise,
196,Chan Kin Ngai,Male,23,187,96,Spain,Europe,1986,Summer,Football,Men's Football,
197,Chan Siu Kwong,Male,29,161,113,USA,North America,1986,Winter,Ice Hockey,Women's Ice Hockey,Silver
198,Chan Chi Ming,Female,34,189,102,Spain,Europe,1986,Summer,Weightlifting,Women's 58kg,Gold
199,Chan Kong Wah,Male,19,189,80,Spain,Europe,1986,Winter,Skiing,Alpine Skiing,
200,Tim He,Male,39,186,89,Italy,Europe,1986,Summer,Athletics,100m Sprint,
201,Liu Fuk Man,Male,28,167,52,Brazil,South America,1988,Summer,Swimming,100m Freestyle,Gold
202,Lo Chuen Tsung,Male,35,165,119,China,Asia,1988,Summer,Gymnastics,Floor Exercise,
203,Ng Pak Kum,Female,18,195,82,Canada,North America,1988,Summer,Athletics,200m Sprint,Gold
204,Vong Lu Veng,Female,32,178,58,Italy,Europe,1988,Winter,Skiing,Alpine Skiing,
205,Wong Wai Lap,Male,23,165,79,India,Asia,1988,Summer,Football,Women's Football,
206,Csilla Bátorfi,Female,26,174,102,Germany,Europe,1988,Summer,Swimming,200m Butterfly,Bronze
207,Virág Csurgó,Male,30,158,117,China,Asia,1988,Summer,Football,Men's Football,
208,Andrea Dakó,Male,25,158,67,Canada,North America,1988,Summer,Athletics,Marathon,
209,Csilla Fórián,Male,33,177,83,Brazil,South America,1988,Summer,Athletics,100m Sprint,
210,Andrea Harsági,Female,28,176,96,South Africa,Africa,1988,Winter,Ice Hockey,Men's Ice Hockey,
211,Ilona Váradi,Female,37,185,102,China,Asia,1988,Summer,Weightlifting,Women's 58kg,
212,Andrea Temesvári,Male,40,176,59,Canada,North America,1988,Winter,Skiing,Alpine Skiing,
213,Krisztina Tóth,Male,34,172,59,Canada,North America,1988,Summer,Swimming,100m Freestyle,Gold
214,Edit Urbán,Female,23,181,69,Japan,Asia,1988,Winter,Ice Hockey,Men's Ice Hockey,
215,Zoltán Bátorfi,Female,33,159,57,France,Europe,1988,Summer,Football,Women's Football,Silver
216,Lajos Göncz,Female,36,164,102,UK,Europe,1988,Summer,Gymnastics,Vault,Bronze
217,Zsolt Harczi,Female,37,199,91,Canada,North America,1988,Summer,Gymnastics,Floor Exercise,Bronze
218,Kálmán Kirchmayer,Female,26,154,71,South Africa,Africa,1988,Summer,Basketball,Men's Tournament,
219,Tibor Klampár,Male,24,176,101,Brazil,South America,1988,Summer,Football,Women's Football,Silver
220,Zsolt Kriston,Male,37,170,91,France,Europe,1988,Summer,Football,Women's Football,Silver
221,Gábor Köves,Female,19,186,66,South Africa,Africa,1988,Summer,Football,Women's Football,Bronze
222,Dezső Lauber,Female,23,189,70,South Korea,Asia,1988,Summer,Basketball,Women's Tournament,Bronze
223,László Markovits,Female,24,161,81,USA,North America,1988,Summer,Basketball,Women's Tournament,Silver
224,Károly Németh,Male,22,189,63,USA,North America,1988,Winter,Skiing,Alpine Skiing,
225,Sándor Noszály,Female,18,187,97,Japan,Asia,1988,Summer,Weightlifting,Women's 58kg,Bronze
226,Momcsilló Tapavicza,Male,40,190,57,Italy,Europe,1988,Summer,Football,Men's Football,Silver
227,Ede Tóth,Female,24,173,74,Australia,Oceania,1988,Winter,Skiing,Cross-Country,
228,Leó Baráth,Male,28,153,99,Spain,Europe,1988,Summer,Weightlifting,Women's 58kg,Silver
229,Aurél Kelemen,Female,39,150,74,Brazil,South America,1988,Winter,Ice Hockey,Men's Ice Hockey,
230,Béla Kehrling,Male,35,158,93,China,Asia,1988,Summer,Swimming,100m Freestyle,
231,Jenő Zsigmondy,Male,24,154,89,India,Asia,1988,Summer,Basketball,Women's Tournament,
232,Aida Steshenko,Male,35,169,66,China,Asia,1988,Winter,Skiing,Cross-Country,Gold
233,Yayuk Basuki,Male,31,193,98,Canada,North America,1988,Summer,Athletics,Marathon,Gold
234,Rossy Pratiwi Dipoyanti,Female,35,187,85,India,Asia,1988,Winter,Skiing,Alpine Skiing,
235, Finarsih,Female,34,160,71,Germany,Europe,1988,Summer,Gymnastics,Floor Exercise,Gold
236,Ling Ling Agustin,Female,24,182,56,UK,Europe,1988,Winter,Ice Hockey,Men's Ice Hockey,Silver
237,Anton Liederer,Female,35,184,118,Japan,Asia,1988,Summer,Swimming,200m Butterfly,
238,Riseu Rosalina,Female,35,156,75,South Korea,Asia,1988,Summer,Basketball,Men's Tournament,
239,Zelin Resiana,Female,19,189,57,South Korea,Asia,1988,Summer,Swimming,100m Freestyle,Gold
240,Yuliani Santoso,Female,40,159,93,Russia,Europe,1988,Summer,Gymnastics,Vault,Gold
241,Sarwendah Kusumawardhani,Male,39,199,69,Brazil,South America,1988,Summer,Football,Women's Football,
242,Erma Sulistianingsih,Female,39,187,98,UK,Europe,1988,Summer,Basketball,Women's Tournament,
243,Susy Susanti,Male,33,181,52,Japan,Asia,1988,Summer,Football,Women's Football,Bronze
244,Lili Tampi,Male,35,159,92,UK,Europe,1988,Winter,Skiing,Alpine Skiing,Bronze
245,Romana Tedjakusuma,Female,37,181,105,Australia,Oceania,1988,Summer,Weightlifting,Men's 77kg,Gold
246,Rosiana Tendean,Female,21,159,91,Italy,Europe,1988,Summer,Swimming,200m Butterfly,Bronze
247,Minarti Timur,Female,40,195,65,Brazil,South America,1988,Summer,Swimming,200m Butterfly,Silver
248, Mia Audina,Male,22,182,109,Australia,Oceania,1988,Summer,Athletics,Marathon,
249,Suzanna Wibowo,Female,21,182,101,Canada,North America,1988,Summer,Football,Women's Football,
250,Antonius Ariantho,Male,38,182,80,UK,Europe,1988,Summer,Athletics,100m Sprint,
251,Rudy Gunawan,Female,33,200,92,Russia,Europe,1988,Summer,Swimming,100m Freestyle,
252,Eddy Hartono,Female,22,181,99,Brazil,South America,1988,Summer,Football,Men's Football,Bronze
253,Hariyanto Arbi,Male,29,196,55,South Korea,Asia,1988,Summer,Athletics,Marathon,
254,Tri Kusharyanto,Male,39,194,80,Canada,North America,1988,Summer,Football,Women's Football,
255,Alan Budikusuma,Female,30,193,117,South Africa,Africa,1988,Summer,Athletics,Marathon,Bronze
256,Denny Kantono,Female,30,166,65,South Korea,Asia,1988,Summer,Basketball,Men's Tournament,
257,Flandy Limpele,Male,40,175,61,Spain,Europe,1988,Summer,Basketball,Men's Tournament,Bronze
258,Rexy Mainaky,Male,33,150,115,India,Asia,1988,Summer,Athletics,100m Sprint,
259,Tonny Maringgi,Female,27,187,80,Japan,Asia,1988,Summer,Basketball,Women's Tournament,
260,Ricky Subagja,Female,39,168,120,Italy,Europe,1988,Summer,Weightlifting,Women's 58kg,
261, Suharyadi,Female,31,181,66,Russia,Europe,1988,Summer,Gymnastics,Floor Exercise,
262,Bambang Suprianto,Female,37,165,105,Japan,Asia,1988,Summer,Football,Women's Football,Silver
263,Joko Suprianto,Female,30,163,68,Russia,Europe,1988,Winter,Skiing,Alpine Skiing,Bronze
264,Hermawan Susanto,Male,21,200,93,Italy,Europe,1988,Summer,Weightlifting,Women's 58kg,
265,Anton Suseno,Male,33,151,55,China,Asia,1988,Summer,Football,Men's Football,Silver
266,Donald Wailan Walalangi,Male,36,178,100,India,Asia,1988,Summer,Athletics,Marathon,Silver
267,Benny Wijaya,Female,39,187,100,Australia,Oceania,1988,Summer,Gymnastics,Floor Exercise,Gold
268,Ardy Wiranata,Male,27,169,108,China,Asia,1988,Summer,Football,Men's Football,
269,Bonit Wiryawan,Male,21,185,120,Italy,Europe,1988,Summer,Athletics,Marathon,
270,Madhumita Bisht,Female,28,179,100,China,Asia,1988,Summer,Football,Women's Football,
271,Nora Polley,Female,34,176,119,India,Asia,1988,Winter,Ice Hockey,Men's Ice Hockey,
272,Ambika Radhika,Female,23,185,62,Italy,Europe,1988,Summer,Athletics,Marathon,Bronze
273,Niyati Roy-Shah,Female,35,188,60,Brazil,South America,1988,Summer,Weightlifting,Women's 58kg,Bronze
274,Zeeshan Ali,Female,28,175,62,UK,Europe,1988,Winter,Skiing,Alpine Skiing,
